chr,start,end,name,score,strand,signalValue,pValue,qValue,peak,width
chr1,155193284,155193557,SRR502329_peak_25,168,.,7.51926,21.3641,16.8308,145,273
chr1,159009780,159010019,SRR502329_peak_26,87,.,6.88191,13.1412,8.77186,86,239
chr1,159077188,159077483,SRR502329_peak_27,323,.,11.6907,37.4788,32.36,117,295
chr1,173670932,173671319,SRR502329_peak_28,731,.,18.1347,79.3538,73.1844,202,387
chr1,185334202,185334479,SRR502329_peak_29,197,.,8.18273,24.3962,19.787,122,277
chr1,205247304,205247633,SRR502329_peak_30,319,.,15.5136,37.0787,31.962,169,329
chr10,3828893,3829093,SRR502329_peak_31,94,.,6.57145,13.8693,9.48413,89,200
chr10,24569297,24569568,SRR502329_peak_32,127,.,5.3861,17.177,12.7359,131,271
chr10,24737094,24737368,SRR502329_peak_33,287,.,14.72,33.686,28.7174,138,274
chr10,24867314,24867520,SRR502329_peak_34,71,.,4.45677,11.452,7.11544,129,206
chr10,28812119,28812328,SRR502329_peak_35,59,.,5.08289,10.2443,5.93392,80,209
chr10,45470664,45470897,SRR502329_peak_36,69,.,3.67186,11.2682,6.93441,115,233
chr10,50326943,50327150,SRR502329_peak_37,46,.,3.26387,8.88043,4.6153,94,207
chr10,70667448,70667742,SRR502329_peak_38,118,.,4.33057,16.2852,11.855,165,294
chr10,89327721,89328113,SRR502329_peak_39,667,.,23.454,72.823,66.7522,186,392
chr10,89332364,89332605,SRR502329_peak_40,164,.,9.41736,20.9523,16.4271,106,241
chr10,89392335,89392702,SRR502329_peak_41,232,.,10.4546,28.0314,23.2904,197,367
chr10,89414396,89414711,SRR502329_peak_42,443,.,18.6824,49.9794,44.3226,161,315
chr10,103816568,103816790,SRR502329_peak_43,167,.,10.58,21.299,16.7664,120,222
chr10,113091950,113092221,SRR502329_peak_44,146,.,9.60155,19.144,14.6556,142,271
chr11,313842,314159,SRR502329_peak_45,717,.,14.6437,77.8617,71.7106,159,317
chr11,320786,321051,SRR502329_peak_46,158,.,7.29811,20.3779,15.8582,123,265
chr11,615563,615764,SRR502329_peak_47,112,.,6.60776,15.6735,11.2587,126,201
chr11,4393517,4393815,SRR502329_peak_48,193,.,6.84432,23.9376,19.3328,157,298
chr11,5624763,5625075,SRR502329_peak_49,473,.,13.7116,53.1036,47.3759,151,312
chr11,5689623,5689858,SRR502329_peak_50,94,.,6.57145,13.8693,9.48413,117,235
chr11,57566117,57566466,SRR502329_peak_51,994,.,26.8832,105.821,99.4355,161,349
chr11,64996910,64997213,SRR502329_peak_52,403,.,10.8855,45.8586,40.3665,156,303
chr11,117173073,117173385,SRR502329_peak_53,305,.,9.78728,35.546,30.5028,175,312
chr12,6336204,6336482,SRR502329_peak_54,248,.,9.2885,29.6764,24.8802,132,278
chr12,23559296,23559570,SRR502329_peak_55,75,.,4.74048,11.8614,7.51805,98,274
chr12,32021051,32021269,SRR502329_peak_56,259,.,9.50966,30.764,25.922,94,218
chr12,33588408,33588649,SRR502329_peak_57,108,.,5.25262,15.306,10.8957,57,241
chr12,49090370,49090570,SRR502329_peak_58,90,.,5.09163,13.4333,9.06064,117,200
chr12,50272001,50272215,SRR502329_peak_59,131,.,7.11605,17.6205,13.1608,107,214
chr12,56360255,56360638,SRR502329_peak_60,1403,.,17.7925,147.047,140.339,183,383
chr12,92403840,92404178,SRR502329_peak_61,391,.,11.3532,44.5295,39.1103,180,338
chr12,101936296,101936496,SRR502329_peak_62,77,.,6.51971,12.106,7.75633,98,200
chr12,104601314,104601554,SRR502329_peak_63,104,.,5.67662,14.87,10.471,139,240
chr12,110079500,110079702,SRR502329_peak_64,161,.,7.87849,20.6532,16.1313,125,202
chr12,112938156,112938516,SRR502329_peak_65,680,.,18.8067,74.1763,68.0803,167,360
chr12,121039164,121039416,SRR502329_peak_66,161,.,10.5176,20.6653,16.1433,100,252
chr12,127083467,127083668,SRR502329_peak_67,28,.,3.21867,7.02898,2.85195,25,201
chr13,18213208,18213412,SRR502329_peak_68,82,.,6.60123,12.6569,8.29619,180,204
chr13,42992163,42992450,SRR502329_peak_69,130,.,9.20003,17.4784,13.0332,156,287
chr13,49495808,49496037,SRR502329_peak_70,164,.,10.6977,20.9639,16.4382,101,229
chr13,67340355,67340559,SRR502329_peak_71,92,.,8.18942,13.6556,9.27716,90,204
chr13,67348303,67348559,SRR502329_peak_72,124,.,7.46756,16.9028,12.4644,149,256
chr13,110874806,110875073,SRR502329_peak_73,138,.,9.1336,18.3613,13.8954,190,267
chr14,24160999,24161404,SRR502329_peak_74,2669,.,36.1317,276.008,266.994,188,405
chr14,71130885,71131092,SRR502329_peak_75,93,.,7.47295,13.7061,9.32677,149,207
chr14,94110450,94110839,SRR502329_peak_76,843,.,27.6152,90.6037,84.3334,190,389
chr14,96830994,96831194,SRR502329_peak_77,135,.,7.53644,17.9912,13.528,89,200
chr14,100375314,100375636,SRR502329_peak_78,223,.,9.40335,27.0782,22.3825,152,322
chr15,43106104,43106325,SRR502329_peak_79,103,.,5.97118,14.746,10.3497,131,221
chr15,44728619,44729027,SRR502329_peak_80,2390,.,25.6039,246.776,239.017,212,408
chr15,51731855,51732056,SRR502329_peak_81,108,.,7.60633,15.2768,10.867,113,201
chr15,56737424,56737711,SRR502329_peak_82,446,.,14.0666,50.2872,44.6266,127,287
chr15,66803085,66803385,SRR502329_peak_83,217,.,8.62504,26.4757,21.7882,149,300
chr15,73994613,73994861,SRR502329_peak_84,158,.,7.29811,20.3779,15.8582,160,248
chr15,81107839,81108175,SRR502329_peak_85,380,.,9.46207,43.4658,38.0609,167,336
chr15,90648672,90648950,SRR502329_peak_86,119,.,5.24053,16.3753,11.9435,115,278
chr15,91472504,91472857,SRR502329_peak_87,544,.,19.9213,60.3397,54.451,168,353
chr15,100596822,100597122,SRR502329_peak_88,229,.,6.58922,27.6967,22.9631,144,300
chr16,11312726,11312975,SRR502329_peak_89,202,.,8.89507,24.8869,20.2448,100,249
chr16,17828135,17828398,SRR502329_peak_90,210,.,9.85718,25.6954,21.0446,106,263
chr16,19696438,19696699,SRR502329_peak_91,247,.,11.9528,29.5714,24.7762,101,261
chr16,23557413,23557708,SRR502329_peak_92,248,.,7.79935,29.6105,24.8149,129,295
chr16,46390204,46390413,SRR502329_peak_93,71,.,1.63327,11.5042,7.16717,184,209
chr16,46399528,46399732,SRR502329_peak_94,47,.,1.67469,9.05306,4.7821,21,204
chr16,50665360,50665625,SRR502329_peak_95,212,.,7.54965,25.8887,21.2354,137,265
chr17,28268270,28268518,SRR502329_peak_96,210,.,9.85718,25.6954,21.0446,151,248
chr17,32127344,32127600,SRR502329_peak_97,168,.,7.51926,21.3641,16.8308,129,256
chr17,42112582,42112901,SRR502329_peak_98,326,.,10.1788,37.7435,32.6232,141,319
chr17,42388676,42388951,SRR502329_peak_99,232,.,6.18399,27.9706,23.2346,136,275
chr17,43006647,43006853,SRR502329_peak_100,134,.,7.76626,17.9486,13.4863,124,206
chr17,45977139,45977357,SRR502329_peak_101,90,.,5.24006,13.4411,9.06843,110,218
chr17,49739590,49739823,SRR502329_peak_102,256,.,7.56966,30.4375,25.6374,121,233
chr17,59786466,59786806,SRR502329_peak_103,576,.,13.0626,63.5705,57.6307,172,340
chr17,79065169,79065450,SRR502329_peak_104,192,.,8.64092,23.8093,19.207,156,281
chr18,45974152,45974454,SRR502329_peak_105,257,.,7.95852,30.5876,25.7477,152,302
chr18,62506274,62506640,SRR502329_peak_106,772,.,28.9801,83.4121,77.2035,189,366
chr19,893242,893469,SRR502329_peak_107,204,.,7.82982,25.1022,20.458,120,227
chr19,8689042,8689243,SRR502329_peak_108,118,.,8.74003,16.2457,11.8228,87,201
chr19,17405607,17405919,SRR502329_peak_109,589,.,11.1892,64.8953,58.9413,153,312
chr19,47515374,47515741,SRR502329_peak_110,817,.,10.9813,87.9977,81.7491,188,367
chr19,51224316,51224663,SRR502329_peak_111,437,.,13.0481,49.3867,43.7712,184,347
chr19,54208311,54208511,SRR502329_peak_112,111,.,4.23433,15.6023,11.1895,117,200
chr2,6865614,6865964,SRR502329_peak_113,530,.,13.7022,58.8778,53.0132,191,350
chr2,6877521,6877797,SRR502329_peak_114,191,.,10.6885,23.7189,19.1172,139,276
chr2,12277548,12277783,SRR502329_peak_115,145,.,5.49857,19.0464,14.5588,113,235
chr2,26493590,26493949,SRR502329_peak_116,308,.,13.9968,35.8501,30.805,161,359
chr2,26757905,26758192,SRR502329_peak_117,130,.,8.33074,17.4926,13.0458,113,287
chr2,28530854,28531090,SRR502329_peak_118,80,.,7.64346,12.3979,8.03981,110,236
chr2,37156870,37157070,SRR502329_peak_119,94,.,6.57145,13.8693,9.48413,122,200
chr2,55693757,55694118,SRR502329_peak_120,723,.,10.8745,78.4721,72.3117,166,361
chr2,75310891,75311120,SRR502329_peak_121,131,.,9.82731,17.5894,13.131,174,229
chr2,96486108,96486310,SRR502329_peak_122,67,.,5.33704,11.1021,6.77246,67,202
chr2,120232299,120232559,SRR502329_peak_123,256,.,11.052,30.4162,25.6164,125,260
chr2,145724056,145724283,SRR502329_peak_124,125,.,7.25731,16.9703,12.5311,65,227
chr2,151261723,151261937,SRR502329_peak_125,116,.,5.41179,16.1169,11.6973,131,214
chr2,151289796,151290118,SRR502329_peak_126,238,.,9.06735,28.599,23.8543,172,322
chr2,162318597,162318896,SRR502329_peak_127,244,.,13.6153,29.2584,24.4703,131,299
chr2,168999697,168999949,SRR502329_peak_128,199,.,10.504,24.559,19.9468,138,252
chr2,191014131,191014331,SRR502329_peak_129,61,.,4.86541,10.48,6.16394,122,200
chr2,191020221,191020605,SRR502329_peak_130,1516,.,22.709,158.504,151.63,204,384
chr2,200383744,200384122,SRR502329_peak_131,376,.,14.039,42.9894,37.6412,180,378
chr2,201220109,201220311,SRR502329_peak_132,134,.,7.76626,17.9486,13.4863,165,202
chr2,230219883,230220193,SRR502329_peak_133,272,.,12.6772,32.1568,27.2571,152,310
chr2,230335952,230336181,SRR502329_peak_134,130,.,8.33074,17.4926,13.0458,144,229
chr2,230415986,230416296,SRR502329_peak_135,235,.,11.5906,28.2979,23.5547,165,310
chr20,38122888,38123260,SRR502329_peak_136,1040,.,19.8398,110.468,104.039,189,372
chr20,49776488,49776688,SRR502329_peak_137,85,.,6.27275,12.8953,8.53018,38,200
chr20,55103284,55103496,SRR502329_peak_138,129,.,7.73893,17.4108,12.9688,111,212
chr21,10270037,10270682,SRR502329_peak_139,149,.,7.07695,19.4046,14.9133,171,645
chr21,10325654,10326052,SRR502329_peak_140,488,.,17.6924,54.5769,48.8121,185,398
chr21,14753840,14754134,SRR502329_peak_141,58,.,3.88923,10.1564,5.84885,92,294
chr21,33657204,33657422,SRR502329_peak_142,59,.,5.08289,10.2443,5.93392,96,218
chr21,37419538,37419820,SRR502329_peak_143,151,.,5.82281,19.6498,15.1559,167,282
chr21,41420398,41420724,SRR502329_peak_144,416,.,16.6615,47.1854,41.6345,175,326
chr22,18890757,18890977,SRR502329_peak_145,82,.,6.60123,12.6569,8.29619,178,220
chr22,21571166,21571465,SRR502329_peak_146,193,.,6.55066,23.9807,19.3735,176,299
chr22,23486771,23486984,SRR502329_peak_147,131,.,9.82731,17.5894,13.131,30,213
chr22,50539501,50539974,SRR502329_peak_148,1575,.,30.7405,164.502,157.539,236,473
chr3,5149471,5149812,SRR502329_peak_149,549,.,17.6036,60.8555,54.9572,194,341
chr3,33901027,33901338,SRR502329_peak_150,283,.,5.23165,33.309,28.3992,195,311
chr3,36908032,36908257,SRR502329_peak_151,85,.,4.77511,12.9519,8.58582,127,225
chr3,48472975,48473217,SRR502329_peak_152,130,.,6.26386,17.5086,13.0605,129,242
chr3,69791989,69792328,SRR502329_peak_153,436,.,11.4123,49.2635,43.6499,161,339
chr3,93470321,93470806,SRR502329_peak_154,165,.,1.75161,21.0407,16.5148,252,485
chr3,122564127,122564497,SRR502329_peak_155,1010,.,27.1819,107.409,101.009,170,370
chr3,122680671,122680923,SRR502329_peak_156,223,.,11.2284,27.0378,22.3425,108,252
chr3,125155041,125155253,SRR502329_peak_157,72,.,6.90002,11.5489,7.21027,106,212
chr3,146544494,146544845,SRR502329_peak_158,642,.,12.9558,70.3318,64.2996,172,351
chr3,157174822,157175096,SRR502329_peak_159,256,.,5.79326,30.4775,25.6772,124,274
chr3,172179810,172180079,SRR502329_peak_160,183,.,10.2139,22.899,18.3306,133,269
chr3,172594653,172594892,SRR502329_peak_161,103,.,6.35362,14.7241,10.329,126,239
chr3,196842720,196842990,SRR502329_peak_162,175,.,6.52598,22.1238,17.5656,139,270
chr4,17576855,17577161,SRR502329_peak_163,516,.,11.9378,57.4441,51.6114,158,306
chr4,24584679,24584879,SRR502329_peak_164,135,.,8.3384,18.0045,13.5411,76,200
chr4,38283806,38284086,SRR502329_peak_165,228,.,11.8761,27.5572,22.8247,126,280
chr4,49709710,49710201,SRR502329_peak_166,127,.,2.635,17.212,12.7708,195,491
chr4,49710680,49710887,SRR502329_peak_167,85,.,2.22966,12.9039,8.53868,28,207
chr4,88379259,88379550,SRR502329_peak_168,402,.,16.2993,45.768,40.2772,149,291
chr4,139314919,139315200,SRR502329_peak_169,167,.,9.89676,21.2378,16.7093,108,281
chr4,168480446,168480746,SRR502329_peak_170,267,.,11.3507,31.626,26.7748,138,300
chr4,169626902,169627233,SRR502329_peak_171,436,.,9.79014,49.285,43.6711,192,331
chr4,189233816,189234174,SRR502329_peak_172,92,.,8.18942,13.6556,9.27716,184,358
chr4,189234334,189234644,SRR502329_peak_173,80,.,7.64346,12.3979,8.03981,181,310
chr4,189234760,189235048,SRR502329_peak_174,92,.,8.18942,13.6556,9.27716,95,288
chr5,5523193,5523517,SRR502329_peak_175,267,.,11.3507,31.626,26.7748,146,324
chr5,39076965,39077319,SRR502329_peak_176,712,.,13.1429,77.3695,71.2249,183,354
chr5,43040270,43040520,SRR502329_peak_177,189,.,5.79348,23.5994,18.9986,119,250
chr5,47876658,47876912,SRR502329_peak_178,155,.,10.175,20.0971,15.596,79,254
chr5,85647819,85648151,SRR502329_peak_179,381,.,12.9614,43.5938,38.1881,146,332
chr5,132490710,132491074,SRR502329_peak_180,516,.,12.6413,57.4355,51.6038,190,364
chr5,132495784,132496027,SRR502329_peak_181,149,.,7.07695,19.4046,14.9133,90,243
chr5,132496898,132497250,SRR502329_peak_182,575,.,13.5191,63.4539,57.5176,168,352
chr5,132972250,132972502,SRR502329_peak_183,80,.,5.08938,12.3625,8.0087,100,252
chr5,143586077,143586282,SRR502329_peak_184,104,.,6.87016,14.8624,10.4639,101,205
chr5,173056228,173056483,SRR502329_peak_185,141,.,7.3702,18.6169,14.1486,155,255
chr6,10838498,10838763,SRR502329_peak_186,370,.,9.3165,42.4209,37.0824,125,265
chr6,16236650,16236961,SRR502329_peak_187,282,.,7.64435,33.1908,28.2811,167,311
chr6,20846635,20846881,SRR502329_peak_188,179,.,5.84327,22.5571,17.9944,126,246
chr6,30489171,30489533,SRR502329_peak_189,790,.,10.4509,85.2683,79.0415,188,362
chr6,32014600,32014816,SRR502329_peak_190,122,.,6.86191,16.6392,12.2041,127,216
chr6,32853689,32853995,SRR502329_peak_191,305,.,8.75437,35.5984,30.5546,141,306
chr6,36347670,36347870,SRR502329_peak_192,50,.,3.97926,9.31606,5.03548,131,200
chr6,37183295,37183500,SRR502329_peak_193,132,.,5.09732,17.7449,13.2845,91,205
chr6,37314842,37315044,SRR502329_peak_194,57,.,3.07669,10.0046,5.70253,146,202
chr6,42190841,42191128,SRR502329_peak_195,104,.,6.87016,14.8624,10.4639,109,287
chr6,43630052,43630332,SRR502329_peak_196,182,.,5.19668,22.8338,18.2658,122,280
chr6,47414732,47415106,SRR502329_peak_197,402,.,12.3847,45.7354,40.2461,220,374
chr6,47420486,47420738,SRR502329_peak_198,135,.,6.68232,18.0524,13.5889,99,252
chr6,61322841,61323245,SRR502329_peak_199,257,.,14.741,30.5469,25.7074,221,404
chr6,98833978,98834235,SRR502329_peak_200,164,.,9.41736,20.9523,16.4271,138,257
chr6,100258036,100258392,SRR502329_peak_201,426,.,15.2338,48.2864,42.6896,185,356
chr6,119313001,119313248,SRR502329_peak_202,169,.,5.9009,21.5218,16.9882,112,247
chr6,137722761,137722961,SRR502329_peak_203,89,.,7.78015,13.3697,8.99773,117,200
chr6,150559972,150560202,SRR502329_peak_204,124,.,7.46756,16.9028,12.4644,124,230
chr6,167840988,167841235,SRR502329_peak_205,114,.,4.63478,15.8347,11.4184,118,247
chr7,30761417,30761735,SRR502329_peak_206,122,.,5.09623,16.6645,12.2292,219,318
chr7,36404851,36405051,SRR502329_peak_207,104,.,5.67662,14.87,10.471,119,200
chr7,88205209,88205518,SRR502329_peak_208,308,.,13.9968,35.8501,30.805,145,309
chr7,93117970,93118268,SRR502329_peak_209,224,.,8.22131,27.1131,22.4169,139,298
chr7,93147552,93147864,SRR502329_peak_210,134,.,7.76626,17.9486,13.4863,127,312
chr7,106283913,106284186,SRR502329_peak_211,153,.,5.63268,19.8615,15.3658,179,273
chr7,121000041,121000275,SRR502329_peak_212,170,.,6.81219,21.5462,17.0125,119,234
chr7,135147837,135148174,SRR502329_peak_213,670,.,16.6088,73.1543,67.0784,153,337
chr7,139044141,139044750,SRR502329_peak_214,458,.,11.7634,51.5667,45.8624,169,609
chr7,139109237,139109526,SRR502329_peak_215,260,.,8.2625,30.9291,26.0809,149,289
chr7,143635970,143636248,SRR502329_peak_216,228,.,8.84619,27.532,22.8073,127,278
chr7,143715166,143715481,SRR502329_peak_217,287,.,12.0727,33.6663,28.7017,170,315
chr7,143821403,143821657,SRR502329_peak_218,155,.,8.09469,20.0795,15.5793,140,254
chr8,20202474,20202674,SRR502329_peak_219,129,.,7.73893,17.4108,12.9688,136,200
chr8,30099730,30099949,SRR502329_peak_220,158,.,7.29811,20.3779,15.8582,123,219
chr8,97802222,97802441,SRR502329_peak_221,85,.,6.27275,12.8953,8.53018,120,219
chr8,143026396,143026705,SRR502329_peak_222,471,.,21.2735,52.8209,47.1007,174,309
chr8,143547291,143547530,SRR502329_peak_223,158,.,6.20764,20.3515,15.8327,85,239
chr9,14522609,14522889,SRR502329_peak_224,171,.,8.13263,21.692,17.1568,109,280
chr9,32526118,32526615,SRR502329_peak_225,594,.,24.7992,65.4229,59.4584,165,497
chr9,68969654,68969864,SRR502329_peak_226,152,.,9.05515,19.7819,15.2866,70,210
chr9,98851650,98851924,SRR502329_peak_227,177,.,8.96107,22.2893,17.7282,167,274
chr9,101840864,101841111,SRR502329_peak_228,148,.,5.34597,19.3099,14.8208,107,247
chrM,175,410,SRR502329_peak_229,116,.,1.60048,16.0582,11.6392,100,235
chrM,2206,2434,SRR502329_peak_230,56,.,1.43711,9.93466,5.63729,67,228
chrM,3107,3484,SRR502329_peak_231,114,.,1.57349,15.8166,11.4006,180,377
chrM,3706,3957,SRR502329_peak_232,61,.,1.4505,10.4764,6.16151,73,251
chrM,4992,5197,SRR502329_peak_233,59,.,1.44626,10.3104,5.99893,90,205
chrM,9658,10930,SRR502329_peak_234,138,.,1.62439,18.3134,13.848,398,1272
chrM,11119,11567,SRR502329_peak_235,108,.,1.56077,15.2181,10.81,265,448
chrM,11609,12982,SRR502329_peak_236,146,.,1.64135,19.1817,14.6931,1081,1373
chrM,13232,13442,SRR502329_peak_237,58,.,1.44201,10.1456,5.83837,156,210
chrM,13838,14075,SRR502329_peak_238,65,.,1.46301,10.8611,6.53891,176,237
chrM,15073,15405,SRR502329_peak_239,104,.,1.55229,14.8248,10.4275,139,332
chrM,15460,16383,SRR502329_peak_240,153,.,1.65408,19.8445,15.349,587,923
chrX,48937074,48937332,SRR502329_peak_241,171,.,8.6575,21.7028,17.1676,128,258
chrX,118884573,118884872,SRR502329_peak_242,228,.,13.649,27.5394,22.8073,155,299
chrX,139213478,139213714,SRR502329_peak_243,171,.,8.13263,21.692,17.1568,132,236
chrY,11533569,11533778,SRR502329_peak_244,86,.,7.78256,12.9845,8.61827,98,209
chrY,11534028,11534402,SRR502329_peak_245,76,.,7.39892,11.9951,7.64837,180,374
chrY,11539336,11539603,SRR502329_peak_246,85,.,6.27275,12.8953,8.53018,73,267
chrY,23427780,23427998,SRR502329_peak_247,83,.,7.36002,12.6854,8.32322,113,218
chrY,56673102,56717702,SRR502329_peak_248,628,.,27.2981,68.8406,62.8271,11643,44600
chrY,56717745,56728348,SRR502329_peak_249,602,.,25.7848,66.2467,60.2711,10398,10603
chrY,56728506,56746265,SRR502329_peak_250,593,.,26.2062,65.291,59.3275,6287,17759
chrY,56746336,56771058,SRR502329_peak_251,691,.,25.325,75.2296,69.1188,17185,24722
chrY,56771242,56771583,SRR502329_peak_252,64,.,4.2976,10.7243,6.40474,9,341
